Country/area,Technology,Data Type,Grid connection,2019,2020,2021,2022,2023,2024
Afghanistan,Mixed Hydro Plants,Electricity Generation (GWh),Off-grid,,,,,,
Afghanistan,Mixed Hydro Plants,Electricity Generation (GWh),On-grid,,,,,,
Afghanistan,Mixed Hydro Plants,Electricity Installed Capacity (MW),Off-grid,,,,,,
Afghanistan,Mixed Hydro Plants,Electricity Installed Capacity (MW),On-grid,,,,,,
Afghanistan,Nuclear,Electricity Generation (GWh),Off-grid,,,,,,
Afghanistan,Nuclear,Electricity Generation (GWh),On-grid,,,,,,
Afghanistan,Nuclear,Electricity Installed Capacity (MW),Off-grid,,,,,,
Afghanistan,Nuclear,Electricity Installed Capacity (MW),On-grid,,,,,,
Afghanistan,Offshore wind energy,Electricity Generation (GWh),Off-grid,,,,,,
Afghanistan,Offshore wind energy,Electricity Generation (GWh),On-grid,,,,,,
Afghanistan,Offshore wind energy,Electricity Installed Capacity (MW),Off-grid,,,,,,
Afghanistan,Offshore wind energy,Electricity Installed Capacity (MW),On-grid,,,,,,
Afghanistan,Onshore wind energy,Electricity Generation (GWh),Off-grid,0.12,0.12,0.12,0.12,0.12,
Afghanistan,Onshore wind energy,Electricity Generation (GWh),On-grid,,,,,,
Afghanistan,Onshore wind energy,Electricity Installed Capacity (MW),Off-grid,0.1,0.1,0.1,0.1,0.1,0.1
Afghanistan,Onshore wind energy,Electricity Installed Capacity (MW),On-grid,0.3,0.3,0.3,0.3,0.3,0.3
Afghanistan,Other non-renewable energy,Electricity Generation (GWh),Off-grid,,,,,,
Afghanistan,Other non-renewable energy,Electricity Generation (GWh),On-grid,,,,,,
Afghanistan,Other non-renewable energy,Electricity Installed Capacity (MW),Off-grid,,,,,,
Afghanistan,Other non-renewable energy,Electricity Installed Capacity (MW),On-grid,,,,,,
Afghanistan,Pumped storage,Electricity Generation (GWh),Off-grid,,,,,,
Afghanistan,Pumped storage,Electricity Generation (GWh),On-grid,,,,,,
Afghanistan,Pumped storage,Electricity Installed Capacity (MW),Off-grid,,,,,,
Afghanistan,Pumped storage,Electricity Installed Capacity (MW),On-grid,,,,,,
Afghanistan,Renewable hydropower,Electricity Generation (GWh),Off-grid,123.69,113.92,91.77,61.79,62.93,
Afghanistan,Renewable hydropower,Electricity Generation (GWh),On-grid,1012.48,932.51,789.4,697.19,710.05,
Afghanistan,Renewable hydropower,Electricity Installed Capacity (MW),Off-grid,37.99,37.99,38.11,38.14,38.14,38.14
Afghanistan,Renewable hydropower,Electricity Installed Capacity (MW),On-grid,311,311,327.8,430.3,430.3,430.3
Afghanistan,Solar photovoltaic,Electricity Generation (GWh),Off-grid,37.19,36.26,35.9,37.61,39.17,
Afghanistan,Solar photovoltaic,Electricity Generation (GWh),On-grid,20.77,29.14,41.3,53.08,77.98,
Afghanistan,Solar photovoltaic,Electricity Installed Capacity (MW),Off-grid,20.89,20.31,20.49,22.26,22.26,22.26
Afghanistan,Solar photovoltaic,Electricity Installed Capacity (MW),On-grid,31.7,31.7,31.7,31.7,31.7,31.7
Afghanistan,Solar thermal energy,Electricity Generation (GWh),Off-grid,,,,,,
Afghanistan,Solar thermal energy,Electricity Generation (GWh),On-grid,,,,,,
Afghanistan,Solar thermal energy,Electricity Installed Capacity (MW),Off-grid,,,,,,
Afghanistan,Solar thermal energy,Electricity Installed Capacity (MW),On-grid,,,,,,
Afghanistan,Total renewable,Electricity Generation (GWh),Off-grid,161.01,150.3,127.8,99.53,102.23,
Afghanistan,Total renewable,Electricity Generation (GWh),On-grid,1033.25,961.65,830.7,750.26,788.03,
