Country/area,Technology,Year,Public Investments (2022 Million USD)
Afghanistan,Ongrid solar photovoltaic,2019,4.24
Afghanistan,Ongrid solar photovoltaic,2020,
Afghanistan,Ongrid solar photovoltaic,2021,
Afghanistan,Ongrid solar photovoltaic,2022,
Afghanistan,Ongrid solar photovoltaic,2023,21.57
Afghanistan,Offgrid solar photovoltaic,2019,
Afghanistan,Offgrid solar photovoltaic,2020,17.68
Afghanistan,Offgrid solar photovoltaic,2021,
Afghanistan,Offgrid solar photovoltaic,2022,
Afghanistan,Offgrid solar photovoltaic,2023,
Afghanistan,Solar thermal energy,2019,
Afghanistan,Solar thermal energy,2020,
Afghanistan,Solar thermal energy,2021,
Afghanistan,Solar thermal energy,2022,
Afghanistan,Solar thermal energy,2023,
Afghanistan,Concentrated solar power,2019,
Afghanistan,Concentrated solar power,2020,
Afghanistan,Concentrated solar power,2021,
Afghanistan,Concentrated solar power,2022,
Afghanistan,Concentrated solar power,2023,
Afghanistan,Onshore wind energy,2019,
Afghanistan,Onshore wind energy,2020,
Afghanistan,Onshore wind energy,2021,
Afghanistan,Onshore wind energy,2022,
Afghanistan,Onshore wind energy,2023,
Afghanistan,Offshore wind energy,2019,
Afghanistan,Offshore wind energy,2020,
Afghanistan,Offshore wind energy,2021,
Afghanistan,Offshore wind energy,2022,
Afghanistan,Offshore wind energy,2023,
Afghanistan,Renewable hydropower,2019,0.02
Afghanistan,Renewable hydropower,2020,
Afghanistan,Renewable hydropower,2021,
Afghanistan,Renewable hydropower,2022,
Afghanistan,Renewable hydropower,2023,
Afghanistan,Pumped storage,2019,
Afghanistan,Pumped storage,2020,
Afghanistan,Pumped storage,2021,
Afghanistan,Pumped storage,2022,
Afghanistan,Pumped storage,2023,
Afghanistan,Marine energy,2019,
Afghanistan,Marine energy,2020,
Afghanistan,Marine energy,2021,
Afghanistan,Marine energy,2022,
Afghanistan,Marine energy,2023,
Afghanistan,Nuclear,2019,
Afghanistan,Nuclear,2020,
Afghanistan,Nuclear,2021,
Afghanistan,Nuclear,2022,
Afghanistan,Nuclear,2023,
Albania,Ongrid solar photovoltaic,2019,
Albania,Ongrid solar photovoltaic,2020,
Albania,Ongrid solar photovoltaic,2021,10.34
