Country/area,Technology,2019,2020,2021,2022,2023
Afghanistan,Concentrated solar power,,,,,
Afghanistan,Marine energy,,,,,
Afghanistan,Nuclear,,,,,
Afghanistan,Offgrid solar photovoltaic,,17.68,,,
Afghanistan,Offshore wind energy,,,,,
Afghanistan,Ongrid solar photovoltaic,4.24,,,,21.57
Afghanistan,Onshore wind energy,,,,,
Afghanistan,Pumped storage,,,,,
Afghanistan,Renewable hydropower,0.02,,,,
Afghanistan,Solar thermal energy,,,,,
Albania,Concentrated solar power,,,,,
Albania,Marine energy,,,,,
Albania,Nuclear,,,,,
Albania,Offgrid solar photovoltaic,,,,,
Albania,Offshore wind energy,,,,,
Albania,Ongrid solar photovoltaic,,,10.34,,61.71
Albania,Onshore wind energy,,,,,
Albania,Pumped storage,,,,,
Albania,Renewable hydropower,,,95.2,2.1,
Albania,Solar thermal energy,,,,,
Algeria,Concentrated solar power,,,,,
Algeria,Marine energy,,,,,
Algeria,Nuclear,0.03,0.12,,,
Algeria,Offgrid solar photovoltaic,,0,0,,
Algeria,Offshore wind energy,,,,,
Algeria,Ongrid solar photovoltaic,0.04,,,,0.03
Algeria,Onshore wind energy,,,0.09,,
Algeria,Pumped storage,,,,,
Algeria,Renewable hydropower,,,,,
Algeria,Solar thermal energy,,,,,
Angola,Concentrated solar power,,,,,
Angola,Marine energy,,,,,
Angola,Nuclear,,,,,
Angola,Offgrid solar photovoltaic,,,,40,59.89
Angola,Offshore wind energy,,,,,
Angola,Ongrid solar photovoltaic,0.06,0.03,,,
Angola,Onshore wind energy,,,,,
Angola,Pumped storage,,,,,
Angola,Renewable hydropower,,,,40,
Angola,Solar thermal energy,,,,,
Anguilla,Concentrated solar power,,,,,
Anguilla,Marine energy,,,,,
Anguilla,Nuclear,,,,,
Anguilla,Offgrid solar photovoltaic,,,,,
Anguilla,Offshore wind energy,,,,,
Anguilla,Ongrid solar photovoltaic,,,,,
Anguilla,Onshore wind energy,,,,,
Anguilla,Pumped storage,,,,,
Anguilla,Renewable hydropower,,,,,
Anguilla,Solar thermal energy,,,,,
Antigua and Barbuda,Concentrated solar power,,,,,
Antigua and Barbuda,Marine energy,,,,,
Antigua and Barbuda,Nuclear,,,,,
Antigua and Barbuda,Offgrid solar photovoltaic,,,,,
Antigua and Barbuda,Offshore wind energy,,,,,
Antigua and Barbuda,Ongrid solar photovoltaic,,6.72,,,
Antigua and Barbuda,Onshore wind energy,,,,,
Antigua and Barbuda,Pumped storage,,,,,
Antigua and Barbuda,Renewable hydropower,,,,,
Antigua and Barbuda,Solar thermal energy,,,,,
Argentina,Concentrated solar power,,,,,
Argentina,Marine energy,,,,,
Argentina,Nuclear,0.06,,,,
Argentina,Offgrid solar photovoltaic,1.42,0.01,,0.01,182.73
Argentina,Offshore wind energy,,,,,
Argentina,Ongrid solar photovoltaic,96.38,,0.86,,12.23
Argentina,Onshore wind energy,416.57,2.7,1.77,10.37,90.85
Argentina,Pumped storage,,,,,
Argentina,Renewable hydropower,,,,,
Argentina,Solar thermal energy,,,,,26.51
Armenia,Concentrated solar power,,,,,
Armenia,Marine energy,,,,,
Armenia,Nuclear,1.5,1.84,0.12,2.21,0.26
Armenia,Offgrid solar photovoltaic,,,0.01,0.02,
Armenia,Offshore wind energy,,,,,
Armenia,Ongrid solar photovoltaic,0.03,10.01,0.1,0.99,0.99
Armenia,Onshore wind energy,,,,,
Armenia,Pumped storage,,,,,
Armenia,Renewable hydropower,,,,,
Armenia,Solar thermal energy,0.01,,0.03,,
Australia,Concentrated solar power,,,,,
Australia,Marine energy,,,,,
Australia,Nuclear,,,,,
Australia,Offgrid solar photovoltaic,,,,,
Australia,Offshore wind energy,,,,,
Australia,Ongrid solar photovoltaic,,,30.26,,1.36
Australia,Onshore wind energy,,,,,
Australia,Pumped storage,,,,,
Australia,Renewable hydropower,,,,,
Australia,Solar thermal energy,,,,,
Austria,Concentrated solar power,,,,,
Austria,Marine energy,,,,,
Austria,Nuclear,,,,,
Austria,Offgrid solar photovoltaic,,,,,
Austria,Offshore wind energy,,,,,
Austria,Ongrid solar photovoltaic,,,,,
Austria,Onshore wind energy,,192.15,,2.78,
Austria,Pumped storage,,,,,
Austria,Renewable hydropower,,,,,
Austria,Solar thermal energy,,,,,
Azerbaijan,Concentrated solar power,,,,,
Azerbaijan,Marine energy,,,,,
Azerbaijan,Nuclear,,,,,
Azerbaijan,Offgrid solar photovoltaic,,,,80.6,
Azerbaijan,Offshore wind energy,,,,,
Azerbaijan,Ongrid solar photovoltaic,,,,64.56,
Azerbaijan,Onshore wind energy,,,,0,201.9
Azerbaijan,Pumped storage,,,,,
Azerbaijan,Renewable hydropower,,,,,
Azerbaijan,Solar thermal energy,,,,,
Bahamas (the),Concentrated solar power,,,,,
Bahamas (the),Marine energy,,,,,
Bahamas (the),Nuclear,,,,,
Bahamas (the),Offgrid solar photovoltaic,,,2.19,,
Bahamas (the),Offshore wind energy,,,,,
Bahamas (the),Ongrid solar photovoltaic,,,,,
Bahamas (the),Onshore wind energy,,,,,
Bahamas (the),Pumped storage,,,,,
Bahamas (the),Renewable hydropower,,,,,
Bahamas (the),Solar thermal energy,,,,,
Bangladesh,Concentrated solar power,,,,,
Bangladesh,Marine energy,,,,,
Bangladesh,Nuclear,0.01,,,,
Bangladesh,Offgrid solar photovoltaic,2.88,,310.38,,0.03
Bangladesh,Offshore wind energy,,,,,
Bangladesh,Ongrid solar photovoltaic,142.02,21.3,3.5,0.56,47.98
Bangladesh,Onshore wind energy,,0.1,,,
Bangladesh,Pumped storage,,,,,
Bangladesh,Renewable hydropower,0,,,,
Bangladesh,Solar thermal energy,,,,,
Barbados,Concentrated solar power,,,,,
Barbados,Marine energy,,,,,
Barbados,Nuclear,,,,,
Barbados,Offgrid solar photovoltaic,,,,,
Barbados,Offshore wind energy,,,,,
Barbados,Ongrid solar photovoltaic,,,,,
Barbados,Onshore wind energy,,,,,
Barbados,Pumped storage,,,,,
Barbados,Renewable hydropower,,,,,
Barbados,Solar thermal energy,,,,,
Belarus,Concentrated solar power,,,,,
Belarus,Marine energy,,,,,
Belarus,Nuclear,0.16,0.05,,,
Belarus,Offgrid solar photovoltaic,,0.22,,,
Belarus,Offshore wind energy,,,,,
Belarus,Ongrid solar photovoltaic,,,,,
Belarus,Onshore wind energy,,,,,
Belarus,Pumped storage,,,,,
Belarus,Renewable hydropower,,,,,
Belarus,Solar thermal energy,,,,,
Belgium,Concentrated solar power,,,,,
Belgium,Marine energy,,,,,
Belgium,Nuclear,,,,,
Belgium,Offgrid solar photovoltaic,,,,,
Belgium,Offshore wind energy,,,,,
Belgium,Ongrid solar photovoltaic,,,,55.81,
Belgium,Onshore wind energy,,,,,
Belgium,Pumped storage,,,,,
Belgium,Renewable hydropower,,,,,
Belgium,Solar thermal energy,,,,,
Belize,Concentrated solar power,,,,,
Belize,Marine energy,,,,,
Belize,Nuclear,,,,,
Belize,Offgrid solar photovoltaic,,,,,
Belize,Offshore wind energy,,,,,
Belize,Ongrid solar photovoltaic,,0.02,2.91,,73.79
Belize,Onshore wind energy,,,,,
Belize,Pumped storage,,,,,
Belize,Renewable hydropower,,,,,
Belize,Solar thermal energy,,,,,
Benin,Concentrated solar power,,,,,
Benin,Marine energy,,,,,
Benin,Nuclear,,,,,
Benin,Offgrid solar photovoltaic,0,0.02,26.11,39.27,3.68
Benin,Offshore wind energy,,,,,
Benin,Ongrid solar photovoltaic,,,0.52,20.37,15.63
Benin,Onshore wind energy,,,,,
Benin,Pumped storage,,,,,
Benin,Renewable hydropower,,,,,
Benin,Solar thermal energy,,,,,
Bhutan,Concentrated solar power,,,,,
Bhutan,Marine energy,,,,,
Bhutan,Nuclear,,,,,
Bhutan,Offgrid solar photovoltaic,,,,,
Bhutan,Offshore wind energy,,,,,
Bhutan,Ongrid solar photovoltaic,,0.51,0.39,19.26,
Bhutan,Onshore wind energy,,0.26,0.39,,
Bhutan,Pumped storage,,,,,
Bhutan,Renewable hydropower,0.7,,,,11.63
Bhutan,Solar thermal energy,,,,,
Bolivia (Plurinational State of),Concentrated solar power,,,,,
Bolivia (Plurinational State of),Marine energy,,,,,
Bolivia (Plurinational State of),Nuclear,,,,,
Bolivia (Plurinational State of),Offgrid solar photovoltaic,0,,,0.13,219.21
Bolivia (Plurinational State of),Offshore wind energy,,,,,
Bolivia (Plurinational State of),Ongrid solar photovoltaic,0.01,0.05,0.02,,14.85
Bolivia (Plurinational State of),Onshore wind energy,0.22,,,,
Bolivia (Plurinational State of),Pumped storage,,,,,
Bolivia (Plurinational State of),Renewable hydropower,,0.01,,,
Bolivia (Plurinational State of),Solar thermal energy,,,0,0,
Bosnia and Herzegovina,Concentrated solar power,,,,,
Bosnia and Herzegovina,Marine energy,,,,,
Bosnia and Herzegovina,Nuclear,,,,,
Bosnia and Herzegovina,Offgrid solar photovoltaic,,,,0.12,0.01
Bosnia and Herzegovina,Offshore wind energy,,,,,
Bosnia and Herzegovina,Ongrid solar photovoltaic,0.5,0.03,0.03,0.02,
Bosnia and Herzegovina,Onshore wind energy,,,,,35.83
Bosnia and Herzegovina,Pumped storage,,,,,
Bosnia and Herzegovina,Renewable hydropower,17.45,,228.91,407.27,
Bosnia and Herzegovina,Solar thermal energy,,,0.03,0.01,0.01
Botswana,Concentrated solar power,,,,,
Botswana,Marine energy,,,,,
Botswana,Nuclear,,,,,
Botswana,Offgrid solar photovoltaic,,,,,57.5
Botswana,Offshore wind energy,,,,,
Botswana,Ongrid solar photovoltaic,,,40.41,1.45,16.77
Botswana,Onshore wind energy,,,,,
Botswana,Pumped storage,,,,,
Botswana,Renewable hydropower,,,,,
Botswana,Solar thermal energy,,,,,
Brazil,Concentrated solar power,,,,,
Brazil,Marine energy,,,,,
Brazil,Nuclear,0.21,0.28,,,
Brazil,Offgrid solar photovoltaic,0.2,1.65,75.85,11.19,37.41
Brazil,Offshore wind energy,,,,,
Brazil,Ongrid solar photovoltaic,3.8,475.04,689.88,1610.1,489.88
Brazil,Onshore wind energy,1178.53,605.07,1203.64,768.15,14.8
Brazil,Pumped storage,,,,,
Brazil,Renewable hydropower,71.22,52.73,,2.28,5.9
Brazil,Solar thermal energy,,,,,
Bulgaria,Concentrated solar power,,,,,
Bulgaria,Marine energy,,,,,
Bulgaria,Nuclear,,,,,
Bulgaria,Offgrid solar photovoltaic,,1.01,,,
Bulgaria,Offshore wind energy,,,,,
Bulgaria,Ongrid solar photovoltaic,,,,,
Bulgaria,Onshore wind energy,,,,,
Bulgaria,Pumped storage,,,,,
Bulgaria,Renewable hydropower,,,,,
Bulgaria,Solar thermal energy,,,,,
Burkina Faso,Concentrated solar power,,,,,
Burkina Faso,Marine energy,,,,,
Burkina Faso,Nuclear,,,,,
Burkina Faso,Offgrid solar photovoltaic,0.65,0.3,12.52,4.1,2.13
Burkina Faso,Offshore wind energy,,,,,
Burkina Faso,Ongrid solar photovoltaic,23.49,150.99,77.75,2.34,53.1
Burkina Faso,Onshore wind energy,,,,,
Burkina Faso,Pumped storage,,,,,
Burkina Faso,Renewable hydropower,,,,,
Burkina Faso,Solar thermal energy,11.36,0.02,,,0.01
Burundi,Concentrated solar power,,,,,
Burundi,Marine energy,,,,,
Burundi,Nuclear,,,,,
Burundi,Offgrid solar photovoltaic,0.01,,,,0.15
Burundi,Offshore wind energy,,,,,
Burundi,Ongrid solar photovoltaic,0.19,97.16,,,
Burundi,Onshore wind energy,,,,,
Burundi,Pumped storage,,,,,
Burundi,Renewable hydropower,80.23,,,,0.96
Burundi,Solar thermal energy,,,,,
Cabo Verde,Concentrated solar power,,,,,
Cabo Verde,Marine energy,,,,,
Cabo Verde,Nuclear,,,,,
Cabo Verde,Offgrid solar photovoltaic,,,6.79,,
Cabo Verde,Offshore wind energy,,,,,
Cabo Verde,Ongrid solar photovoltaic,,,,,
Cabo Verde,Onshore wind energy,,,,,
Cabo Verde,Pumped storage,,,,,
Cabo Verde,Renewable hydropower,,,,,
Cabo Verde,Solar thermal energy,,,,,
Cambodia,Concentrated solar power,,,,,
Cambodia,Marine energy,,,,,
Cambodia,Nuclear,,,,,
Cambodia,Offgrid solar photovoltaic,,,,1.52,0.02
Cambodia,Offshore wind energy,,,,,
Cambodia,Ongrid solar photovoltaic,0.23,19.12,30.99,,0.1
Cambodia,Onshore wind energy,,,,,
Cambodia,Pumped storage,,,,,
Cambodia,Renewable hydropower,,,,,
Cambodia,Solar thermal energy,,,,,
Cameroon,Concentrated solar power,,,,,
Cameroon,Marine energy,,,,,
Cameroon,Nuclear,,,,,
Cameroon,Offgrid solar photovoltaic,,0.56,0.35,0.05,137.57
Cameroon,Offshore wind energy,,,,,
Cameroon,Ongrid solar photovoltaic,0.72,37.43,0.18,0.78,2.92
Cameroon,Onshore wind energy,,,,,
Cameroon,Pumped storage,,,,,
Cameroon,Renewable hydropower,6.43,4.35,6.31,6.4,0
Cameroon,Solar thermal energy,,,,,
Canada,Concentrated solar power,,,,,
Canada,Marine energy,,,,,
Canada,Nuclear,,,,,
Canada,Offgrid solar photovoltaic,,,,,
Canada,Offshore wind energy,,,,,
Canada,Ongrid solar photovoltaic,,,,,
Canada,Onshore wind energy,,,,,
Canada,Pumped storage,,,,,
Canada,Renewable hydropower,,,,,
Canada,Solar thermal energy,,,,,
Central African Republic (the),Concentrated solar power,,,,,
Central African Republic (the),Marine energy,,,,,
Central African Republic (the),Nuclear,,,,,
Central African Republic (the),Offgrid solar photovoltaic,,,,78.85,0.25
Central African Republic (the),Offshore wind energy,,,,,
