Advanced economies,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"Total Billion USD (2024, MER)",1176.9,1028.4,1056.2,1084.2,1061.9,981.4,1086.7,1228.8,1355.0,1398.0,1426.7
of which: Clean energy,571.8,574.6,586.3,606.0,627.1,662.4,741.5,829.0,934.7,992.5,1065.8
Fuels,553.7,405.3,429.1,444.8,407.4,294.6,323.3,379.2,400.7,388.1,357.2
Fossil fuels,550.8,402.3,425.7,441.5,404.1,290.8,319.2,373.2,391.7,376.9,342.8
Oil,338.4,239.2,267.7,288.3,264.5,174.4,196.7,234.7,244.4,231.2,196.8
Gas,197.8,150.8,140.3,136.4,121.8,102.2,108.9,124.6,132.7,131.7,132.6
Coal,14.6,12.3,17.7,16.8,17.8,14.2,13.6,13.9,14.7,14.0,13.3
Clean Fuels,2.8,3.0,3.4,3.3,3.4,3.7,4.1,5.9,8.7,11.0,13.8
Direct Air Capture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.6
Power,414.8,397.7,379.3,382.9,382.5,396.7,440.4,495.1,561.5,610.4,658.8
Generation,274.7,256.3,233.6,233.0,228.5,233.9,261.5,301.8,333.2,354.3,378.4
Coal (unabated),14.4,12.1,10.5,10.7,10.3,8.7,6.9,4.6,2.7,1.9,1.6
Oil and natural gas (unabated),40.4,40.0,34.3,26.7,21.3,20.5,20.4,23.5,26.5,27.5,21.1
Waste: non-renewable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,1.1,1.5
Nuclear,21.8,20.2,16.9,15.8,16.3,19.2,28.3,33.0,30.1,29.1,27.7
Renewables,197.1,183.3,171.8,179.9,180.7,185.5,205.9,240.4,273.3,293.4,320.3
o/w solar,84.8,82.0,75.9,93.2,103.2,107.4,124.1,152.4,178.6,175.5,171.1
o/w wind,78.8,70.6,66.5,59.8,53.0,55.6,59.5,62.4,64.2,81.8,108.4
o/w others,33.6,30.7,29.4,26.9,24.4,22.5,22.2,25.7,30.6,36.2,40.8
Fossil fuels: with CCUS,0.9,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3,4.7
Other clean power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4
o/w Hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o/w Ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o/w Large scale heat pumps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4
Battery storage,0.4,0.9,1.5,2.5,2.3,3.8,7.5,16.3,27.9,34.7,44.4
Electricity networks,139.7,140.5,144.1,147.4,151.7,159.0,171.5,177.0,200.4,221.4,236.1
End-use,208.4,225.4,247.8,256.5,272.0,290.2,323.0,354.5,392.8,399.5,410.7
Energy efficiency,146.0,156.0,164.4,168.5,174.2,175.1,187.6,199.0,211.3,213.9,211.0
Buildings,130.9,136.2,145.4,147.4,152.2,153.0,162.5,172.1,181.0,182.7,179.4
Transport,7.5,12.3,12.0,14.3,13.7,13.0,14.6,15.8,18.5,20.8,19.6
Industry,7.6,7.5,7.1,6.8,8.3,9.1,10.4,11.2,11.9,10.4,12.0
Other end-use ,62.4,69.5,83.4,88.0,97.8,115.1,135.4,155.5,181.5,185.6,199.7
Buildings,41.0,44.8,53.0,52.7,61.6,64.1,62.5,58.5,69.4,78.2,89.7
Transport,20.2,22.7,28.2,33.7,34.3,48.6,69.5,94.4,109.7,103.7,105.9
Memo: Oil & gas upstream,394.8,241.0,257.5,296.2,287.5,186.1,196.9,243.9,272.7,253.5,231.9
Memo: Transitional fossil fuels,0.5,0.5,0.6,0.6,0.7,0.9,1.3,1.7,1.2,1.6,4.3
