Asia Pacific,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
total_investment_usd_billion_2024_mer,955.1,935.9,939.7,937.6,933.7,890.0,927.2,1095.2,1235.9,1318.6,1361.6
total_clean_energy_usd_billion_2024_mer,515.3,568.9,589.8,585.9,579.9,571.8,593.1,729.8,851.9,915.9,946.6
fuels_total_usd_billion_2024_mer,335.7,271.2,260.7,268.0,276.3,249.1,262.7,290.6,299.5,308.8,331.4
fuels_fossil_usd_billion_2024_mer,333.5,268.8,258.7,266.2,274.1,247.0,259.8,284.3,294.6,302.8,321.4
fuels_oil_usd_billion_2024_mer,109.2,95.0,98.8,105.4,98.5,80.4,86.0,84.8,87.6,91.3,93.8
fuels_gas_usd_billion_2024_mer,120.8,91.9,71.7,70.6,66.2,62.6,64.3,74.9,73.8,70.7,80.1
fuels_coal_usd_billion_2024_mer,103.5,82.0,88.2,90.2,109.5,104.0,109.5,124.5,133.2,140.9,147.5
fuels_clean_usd_billion_2024_mer,2.2,2.3,2.0,1.9,2.2,2.1,2.9,6.3,5.0,6.0,10.0
fuels_dac_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_total_usd_billion_2024_mer,453.8,468.0,471.7,475.3,478.7,462.2,460.8,569.6,700.5,766.5,769.6
power_generation_total_usd_billion_2024_mer,300.9,306.3,316.6,323.7,344.5,336.3,335.1,430.6,555.9,596.8,590.4
power_generation_coal_unabated_usd_billion_2024_mer,78.6,71.5,66.0,63.3,60.6,55.8,57.3,59.9,60.9,66.9,71.5
power_generation_oil_gas_unabated_usd_billion_2024_mer,27.8,26.9,25.4,22.4,19.4,15.6,17.1,21.4,28.3,32.8,22.9
power_generation_waste_nonrenewable_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,1.0,1.3
power_generation_nuclear_usd_billion_2024_mer,20.9,20.2,17.4,16.7,17.1,17.8,20.3,22.4,26.9,32.4,34.2
power_generation_renewables_total_usd_billion_2024_mer,173.5,187.7,207.7,221.3,247.5,247.1,240.2,326.4,438.7,462.1,458.2
power_generation_renewables_solar_usd_billion_2024_mer,81.7,107.3,109.8,101.9,99.1,94.6,108.3,184.0,267.9,277.6,265.1
power_generation_renewables_wind_usd_billion_2024_mer,56.0,41.4,52.1,66.1,91.8,95.9,77.6,92.8,124.2,138.7,145.8
power_generation_renewables_other_usd_billion_2024_mer,35.8,39.0,45.8,53.3,56.6,56.6,54.2,49.6,46.6,45.8,47.2
power_generation_fossil_ccus_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.6,0.7,0.7
power_generation_clean_other_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.7
power_generation_clean_hydrogen_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_generation_clean_ammonia_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_generation_clean_large_scale_heat_pumps_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.7
power_battery_storage_usd_billion_2024_mer,0.1,0.4,0.7,1.8,1.3,2.2,2.5,6.8,12.6,23.7,23.5
power_electricity_networks_usd_billion_2024_mer,152.9,161.3,154.4,149.8,132.8,123.6,123.2,132.2,132.0,146.0,155.7
enduse_total_usd_billion_2024_mer,165.6,196.8,207.4,194.3,178.7,178.7,203.7,235.0,235.8,243.3,260.7
enduse_energy_efficiency_total_usd_billion_2024_mer,103.5,116.1,119.9,118.9,120.5,115.7,116.4,113.7,122.1,131.1,131.9
enduse_energy_efficiency_buildings_usd_billion_2024_mer,75.0,77.5,80.6,81.1,83.6,82.5,86.3,86.6,92.0,96.4,97.1
enduse_energy_efficiency_transport_usd_billion_2024_mer,9.6,22.1,23.7,25.1,26.1,24.7,21.7,19.3,22.1,23.5,21.1
enduse_energy_efficiency_industry_usd_billion_2024_mer,18.9,16.5,15.7,12.7,10.8,8.6,8.3,7.8,8.1,11.1,13.7
enduse_other_total_usd_billion_2024_mer,62.0,80.7,87.4,75.3,58.1,63.0,87.4,121.3,113.7,112.2,128.8
enduse_other_buildings_usd_billion_2024_mer,24.2,26.5,28.4,29.9,29.8,28.5,26.6,25.4,24.7,25.9,27.8
enduse_other_transport_usd_billion_2024_mer,36.2,52.3,53.2,41.1,27.2,33.7,58.9,94.1,86.5,80.7,91.4
enduse_other_industry_usd_billion_2024_mer,1.6,1.9,5.9,4.3,1.1,0.7,1.8,1.9,2.5,5.5,9.5
memo_oil_gas_upstream_usd_billion_2024_mer,148.2,102.5,86.0,93.6,102.3,90.1,91.2,93.0,95.6,97.3,97.6
memo_transitional_fossil_usd_billion_2024_mer,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.3,0.4,0.8,1.5
