Central and South America,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"Total Billion USD (2024, MER)",148.9,126.6,106.6,100.3,97.6,89.2,105.5,114.5,137.2,134.7,133.5
of which: Clean energy,48.5,47.4,41.9,41.4,40.7,43.5,47.1,50.4,61.3,56.2,59.0
Fuels,96.0,74.7,60.4,55.2,54.4,44.3,57.4,63.3,75.5,78.0,77.7
Fossil fuels,95.0,73.9,59.6,54.2,53.1,43.2,55.9,61.8,73.1,75.2,74.3
Oil,73.9,56.6,45.8,42.5,42.7,34.6,44.8,51.9,62.3,64.1,63.1
Gas,17.7,14.5,11.9,10.1,9.6,8.2,10.7,9.5,10.4,10.7,10.5
Coal,3.3,2.8,1.9,1.7,0.8,0.4,0.4,0.4,0.4,0.4,0.6
Clean Fuels,1.0,0.8,0.8,1.0,1.4,1.2,1.5,1.5,2.5,2.8,3.4
Direct Air Capture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Power,45.4,40.9,36.6,35.0,33.0,30.9,35.5,37.0,46.3,38.6,36.5
Generation,32.0,26.8,22.9,22.4,21.3,21.2,25.3,28.4,28.8,27.4,24.6
Coal (unabated),1.1,0.9,0.8,0.7,0.4,0.2,0.1,0.1,0.1,0.1,0.2
Oil and natural gas (unabated),4.3,4.5,4.4,4.1,3.6,2.5,2.8,2.8,3.2,3.8,2.3
Waste: non-renewable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nuclear,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.5,0.9,0.9,0.8
Renewables,26.3,21.3,17.7,17.5,17.2,18.4,22.4,25.1,24.7,22.6,21.4
o/w solar,4.3,4.3,4.8,6.2,6.3,7.0,10.1,12.1,11.9,10.2,8.4
o/w wind,8.4,7.1,6.4,5.5,5.1,5.9,6.6,6.9,6.3,5.9,6.2
o/w others,13.6,9.9,6.4,5.9,5.8,5.6,5.7,6.0,6.4,6.5,6.8
Fossil fuels: with CCUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other clean power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o/w Hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o/w Ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o/w Large scale heat pumps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4,0.4
Electricity networks,13.4,14.0,13.7,12.7,11.7,9.7,10.2,8.5,17.2,10.7,11.4
End-use,7.5,11.0,9.5,10.0,10.2,14.0,12.6,14.2,15.3,18.1,19.3
Energy efficiency,6.0,7.3,7.7,8.4,8.8,9.2,10.7,12.0,12.7,13.5,14.0
Buildings,4.6,4.9,5.2,5.4,5.9,6.1,6.8,7.5,8.0,8.5,8.7
Transport,0.3,1.4,1.5,2.3,2.5,2.3,2.6,3.2,3.1,3.2,3.1
Industry,1.1,1.0,1.0,0.7,0.4,0.8,1.2,1.3,1.6,1.9,2.2
Other end-use ,1.5,3.7,1.8,1.6,1.4,4.8,1.9,2.2,2.6,4.6,5.4
Buildings,0.9,1.0,1.0,1.0,0.9,0.8,0.6,0.6,0.7,0.9,1.1
Transport,0.1,0.1,0.1,0.2,0.3,0.2,0.4,0.8,1.5,2.6,3.2
Industry,0.5,2.7,0.7,0.4,0.2,3.7,0.9,0.8,0.4,1.1,1.1
Memo: Oil & gas upstream,82.0,61.7,48.6,44.3,42.1,30.2,38.5,43.3,54.9,57.7,56.8
Memo: Transitional fossil fuels,0.0,0.0,0.1,0.1,0.2,0.2,0.4,0.6,0.5,0.6,2.2
