China,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
total_investment_usd_billion_2024_mer,535.3,547.6,564.8,561.9,588.8,570.9,589.9,721.8,844.4,883.6,892.8
total_clean_energy_usd_billion_2024_mer,318.4,366.1,380.9,366.0,370.6,371.6,377.0,485.6,590.5,625.3,627.8
fuels_total_usd_billion_2024_mer,165.1,134.0,139.1,154.0,178.9,165.3,178.7,197.4,205.4,198.6,206.1
fuels_fossil_usd_billion_2024_mer,164.3,132.8,137.8,153.0,178.1,164.7,177.0,193.5,202.7,195.1,199.9
fuels_oil_usd_billion_2024_mer,55.8,47.2,54.4,64.4,71.5,59.1,64.8,60.2,62.8,56.2,58.8
fuels_gas_usd_billion_2024_mer,21.8,20.5,21.2,24.7,26.3,26.8,28.6,36.4,37.0,29.4,27.5
fuels_coal_usd_billion_2024_mer,86.6,65.1,62.1,63.9,80.4,78.8,83.6,97.0,102.9,109.5,113.7
fuels_clean_usd_billion_2024_mer,0.9,1.1,1.4,1.0,0.7,0.6,1.7,3.9,2.7,3.5,6.2
fuels_dac_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_total_usd_billion_2024_mer,255.2,276.4,282.8,280.0,294.6,294.6,285.3,377.1,489.3,533.5,524.4
power_generation_total_usd_billion_2024_mer,175.9,184.3,195.6,194.7,216.7,218.7,212.6,294.6,401.6,428.8,416.4
power_generation_coal_unabated_usd_billion_2024_mer,44.1,39.4,35.8,32.8,31.1,27.4,28.2,32.6,36.4,45.4,53.9
power_generation_oil_gas_unabated_usd_billion_2024_mer,8.5,9.3,10.4,10.3,9.1,7.4,7.8,10.4,15.0,17.7,10.7
power_generation_waste_nonrenewable_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.8
power_generation_nuclear_usd_billion_2024_mer,13.7,12.5,10.3,8.7,8.3,9.1,10.4,11.9,14.9,19.0,21.9
power_generation_renewables_total_usd_billion_2024_mer,109.6,123.1,139.1,143.0,168.1,174.9,166.1,239.3,334.6,344.6,326.7
power_generation_renewables_solar_usd_billion_2024_mer,41.1,66.4,65.4,46.7,43.3,48.7,65.6,135.5,211.7,218.9,203.9
power_generation_renewables_wind_usd_billion_2024_mer,48.7,32.2,41.4,56.1,81.9,85.8,65.8,76.4,100.8,107.0,105.4
power_generation_renewables_other_usd_billion_2024_mer,19.7,24.5,32.3,40.1,43.0,40.4,34.7,27.3,22.1,18.7,17.4
power_generation_fossil_ccus_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.6,0.7,0.7
power_generation_clean_other_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.7
power_generation_clean_hydrogen_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_generation_clean_ammonia_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_generation_clean_large_scale_heat_pumps_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.7
power_battery_storage_usd_billion_2024_mer,0.0,0.1,0.2,0.6,0.7,1.3,1.8,5.9,11.1,21.6,19.3
power_electricity_networks_usd_billion_2024_mer,79.3,92.0,87.0,84.6,77.3,74.6,70.9,76.6,76.6,83.1,88.6
enduse_total_usd_billion_2024_mer,114.9,137.2,142.8,128.0,115.3,111.0,126.0,147.3,149.7,151.5,162.3
enduse_energy_efficiency_total_usd_billion_2024_mer,67.2,72.0,73.4,70.2,70.9,68.9,66.1,60.5,66.1,70.7,71.2
enduse_energy_efficiency_buildings_usd_billion_2024_mer,47.8,48.5,50.0,49.0,50.6,50.4,52.1,50.5,53.2,55.8,55.0
enduse_energy_efficiency_transport_usd_billion_2024_mer,4.6,10.5,11.5,12.5,14.2,14.7,11.5,8.0,10.3,9.6,9.1
enduse_energy_efficiency_industry_usd_billion_2024_mer,14.8,12.9,11.9,8.6,6.1,3.8,2.5,2.0,2.6,5.3,7.1
enduse_other_total_usd_billion_2024_mer,47.7,65.2,69.5,57.8,44.4,42.0,59.9,86.8,83.6,80.9,91.1
enduse_other_buildings_usd_billion_2024_mer,18.1,20.3,22.1,23.6,23.0,21.9,20.2,19.5,18.5,18.8,19.6
enduse_other_transport_usd_billion_2024_mer,29.6,43.8,42.9,32.1,21.0,19.8,38.7,67.0,64.2,58.7,67.0
enduse_other_industry_usd_billion_2024_mer,0.0,1.1,4.4,2.1,0.4,0.3,0.9,0.3,0.9,3.3,4.5
memo_oil_gas_upstream_usd_billion_2024_mer,54.2,38.9,41.7,49.6,60.0,53.3,56.8,58.4,58.7,57.3,55.2
memo_transitional_fossil_usd_billion_2024_mer,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.3
