country_code,country,continent,indicator,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024
AFG,Afghanistan,Asia,renewable_elec_pct,87.8403578186823,87.123785906179,78.2344746063241,NA,NA,NA
AFG,Afghanistan,Asia,renewable_prod_kwh,55580000,65720000,77910000,NA,NA,NA
AFG,Afghanistan,Asia,hydro_elec_pct,84.0158265955617,81.6912585244885,71.6561827162579,NA,NA,NA
AFG,Afghanistan,Asia,renewable_prod_pct,3.82453122312059,5.43252738169043,6.57829189006628,NA,NA,NA
AFG,Afghanistan,Asia,energy_invest_private_usd,190490000,NA,NA,NA,NA,NA
AFG,Afghanistan,Asia,energy_invest_ppp_usd,190490000,NA,NA,NA,NA,NA
AFG,Afghanistan,Asia,renewable_consump_pct,18.9,18.2,20,20,NA,NA
AFG,Afghanistan,Asia,GHG_emissions_total,37.5288,37.1923,38.1891,39.1601,NA,NA
AFG,Afghanistan,Asia,mixed_hydro_gen_gwh_off_grid,NA,NA,NA,NA,NA,NA
AFG,Afghanistan,Asia,mixed_hydro_gen_gwh_on_grid,NA,NA,NA,NA,NA,NA
AFG,Afghanistan,Asia,mixed_hydro_cap_mw_off_grid,NA,NA,NA,NA,NA,NA
AFG,Afghanistan,Asia,mixed_hydro_cap_mw_on_grid,NA,NA,NA,NA,NA,NA
AFG,Afghanistan,Asia,nuclear_gen_gwh_off_grid,NA,NA,NA,NA,NA,NA
AFG,Afghanistan,Asia,nuclear_gen_gwh_on_grid,NA,NA,NA,NA,NA,NA
AFG,Afghanistan,Asia,nuclear_cap_mw_off_grid,NA,NA,NA,NA,NA,NA
AFG,Afghanistan,Asia,nuclear_cap_mw_on_grid,NA,NA,NA,NA,NA,NA
AFG,Afghanistan,Asia,offshore_wind_gen_gwh_off_grid,NA,NA,NA,NA,NA,NA
AFG,Afghanistan,Asia,offshore_wind_gen_gwh_on_grid,NA,NA,NA,NA,NA,NA
AFG,Afghanistan,Asia,offshore_wind_cap_mw_off_grid,NA,NA,NA,NA,NA,NA
AFG,Afghanistan,Asia,offshore_wind_cap_mw_on_grid,NA,NA,NA,NA,NA,NA
AFG,Afghanistan,Asia,onshore_wind_gen_gwh_off_grid,0.12,0.12,0.12,0.12,0.12,NA
AFG,Afghanistan,Asia,onshore_wind_gen_gwh_on_grid,NA,NA,NA,NA,NA,NA
