Region/country/area,Indicator,Year,Renewable energy share of electricity capacity and generation (%)
Afghanistan,RE share of electricity capacity (%),2019,59.23
Afghanistan,RE share of electricity capacity (%),2020,59.2
Afghanistan,RE share of electricity capacity (%),2021,60.2
Afghanistan,RE share of electricity capacity (%),2022,65.39
Afghanistan,RE share of electricity capacity (%),2023,65.39
Afghanistan,RE share of electricity capacity (%),2024,65.39
Afghanistan,RE share of electricity generation (%),2019,86.85
Afghanistan,RE share of electricity generation (%),2020,87.56
Afghanistan,RE share of electricity generation (%),2021,80.56
Afghanistan,RE share of electricity generation (%),2022,77.93
Afghanistan,RE share of electricity generation (%),2023,82.95
Afghanistan,RE share of electricity generation (%),2024,-
Albania,RE share of electricity capacity (%),2019,95.69
Albania,RE share of electricity capacity (%),2020,96.09
Albania,RE share of electricity capacity (%),2021,96.27
Albania,RE share of electricity capacity (%),2022,96.36
Albania,RE share of electricity capacity (%),2023,96.53
Albania,RE share of electricity capacity (%),2024,96.65
Albania,RE share of electricity generation (%),2019,100
Albania,RE share of electricity generation (%),2020,100
Albania,RE share of electricity generation (%),2021,100
Albania,RE share of electricity generation (%),2022,100
Albania,RE share of electricity generation (%),2023,100
Albania,RE share of electricity generation (%),2024,-
Algeria,RE share of electricity capacity (%),2019,2.47
Algeria,RE share of electricity capacity (%),2020,2.31
Algeria,RE share of electricity capacity (%),2021,1.97
Algeria,RE share of electricity capacity (%),2022,2.22
Algeria,RE share of electricity capacity (%),2023,2.16
Algeria,RE share of electricity capacity (%),2024,2.09
Algeria,RE share of electricity generation (%),2019,1.07
Algeria,RE share of electricity generation (%),2020,1.1
Algeria,RE share of electricity generation (%),2021,0.95
Algeria,RE share of electricity generation (%),2022,0.95
Algeria,RE share of electricity generation (%),2023,0.97
Algeria,RE share of electricity generation (%),2024,-
American Samoa,RE share of electricity capacity (%),2019,10.8
American Samoa,RE share of electricity capacity (%),2020,10.8
American Samoa,RE share of electricity capacity (%),2021,10.8
American Samoa,RE share of electricity capacity (%),2022,13.21
American Samoa,RE share of electricity capacity (%),2023,13.21
American Samoa,RE share of electricity capacity (%),2024,12.85
American Samoa,RE share of electricity generation (%),2019,4.28
American Samoa,RE share of electricity generation (%),2020,3.7
American Samoa,RE share of electricity generation (%),2021,3.12
American Samoa,RE share of electricity generation (%),2022,3.05
American Samoa,RE share of electricity generation (%),2023,3.05
American Samoa,RE share of electricity generation (%),2024,-
Andorra,RE share of electricity capacity (%),2019,96.89
Andorra,RE share of electricity capacity (%),2020,96.95
Andorra,RE share of electricity capacity (%),2021,97.02
Andorra,RE share of electricity capacity (%),2022,97.09
Andorra,RE share of electricity capacity (%),2023,97.23
Andorra,RE share of electricity capacity (%),2024,97.23
Andorra,RE share of electricity generation (%),2019,96.61
Andorra,RE share of electricity generation (%),2020,97.39
