Country or Area,Commodity - Transaction,Year,Quantity
Afghanistan,"Total hydro production - Kilowatt-hours, million",2023,1222
Afghanistan,"Total hydro production - Kilowatt-hours, million",2022,1220
Afghanistan,"Total hydro production - Kilowatt-hours, million",2021,1215
Afghanistan,"Total hydro production - Kilowatt-hours, million",2020,1180.67
Afghanistan,"Total hydro production - Kilowatt-hours, million",2019,1388.04
Albania,"Total hydro production - Kilowatt-hours, million",2023,8708.557
Albania,"Total hydro production - Kilowatt-hours, million",2022,6841.751
Albania,"Total hydro production - Kilowatt-hours, million",2021,8921.94
Albania,"Total hydro production - Kilowatt-hours, million",2020,5280.901
Albania,"Total hydro production - Kilowatt-hours, million",2019,5183.847
Algeria,"Total hydro production - Kilowatt-hours, million",2022,16.403
Algeria,"Total hydro production - Kilowatt-hours, million",2021,9
Algeria,"Total hydro production - Kilowatt-hours, million",2020,49.6
Algeria,"Total hydro production - Kilowatt-hours, million",2019,152
Andorra,"Total hydro production - Kilowatt-hours, million",2023,69.934
Andorra,"Total hydro production - Kilowatt-hours, million",2022,69.6
Andorra,"Total hydro production - Kilowatt-hours, million",2021,78.8
Andorra,"Total hydro production - Kilowatt-hours, million",2020,123.7
Andorra,"Total hydro production - Kilowatt-hours, million",2019,84.67
Angola,"Total hydro production - Kilowatt-hours, million",2022,12318.18
Angola,"Total hydro production - Kilowatt-hours, million",2021,11203.18
Angola,"Total hydro production - Kilowatt-hours, million",2020,12478.22
Angola,"Total hydro production - Kilowatt-hours, million",2019,10826.28
Argentina,"Total hydro production - Kilowatt-hours, million",2023,40829
Argentina,"Total hydro production - Kilowatt-hours, million",2022,23580
Argentina,"Total hydro production - Kilowatt-hours, million",2021,20186
Argentina,"Total hydro production - Kilowatt-hours, million",2020,24261.679
Argentina,"Total hydro production - Kilowatt-hours, million",2019,36878
Armenia,"Total hydro production - Kilowatt-hours, million",2022,1939.927
Armenia,"Total hydro production - Kilowatt-hours, million",2021,2201.725
Armenia,"Total hydro production - Kilowatt-hours, million",2020,1778.351
Armenia,"Total hydro production - Kilowatt-hours, million",2019,2370.943
Australia,"Total hydro production - Kilowatt-hours, million",2022,17010.891
Australia,"Total hydro production - Kilowatt-hours, million",2021,15199.688
Australia,"Total hydro production - Kilowatt-hours, million",2020,15149.633
Australia,"Total hydro production - Kilowatt-hours, million",2019,15967
Austria,"Total hydro production - Kilowatt-hours, million",2022,39221.112
Austria,"Total hydro production - Kilowatt-hours, million",2021,42539.793
Austria,"Total hydro production - Kilowatt-hours, million",2020,45343.976
Austria,"Total hydro production - Kilowatt-hours, million",2019,44204.02
Azerbaijan,"Total hydro production - Kilowatt-hours, million",2022,1595.7
Azerbaijan,"Total hydro production - Kilowatt-hours, million",2021,1277.3
Azerbaijan,"Total hydro production - Kilowatt-hours, million",2020,1069.5
Azerbaijan,"Total hydro production - Kilowatt-hours, million",2019,1564.8
Bangladesh,"Total hydro production - Kilowatt-hours, million",2022,746
Bangladesh,"Total hydro production - Kilowatt-hours, million",2021,657
Bangladesh,"Total hydro production - Kilowatt-hours, million",2020,874.5
Bangladesh,"Total hydro production - Kilowatt-hours, million",2019,768.5
Belarus,"Total hydro production - Kilowatt-hours, million",2022,371
Belarus,"Total hydro production - Kilowatt-hours, million",2021,371
Belarus,"Total hydro production - Kilowatt-hours, million",2020,399
Belarus,"Total hydro production - Kilowatt-hours, million",2019,350
Belgium,"Total hydro production - Kilowatt-hours, million",2022,1645.7
Belgium,"Total hydro production - Kilowatt-hours, million",2021,1349.8
Belgium,"Total hydro production - Kilowatt-hours, million",2020,1314.6
Belgium,"Total hydro production - Kilowatt-hours, million",2019,1181.2
Belize,"Total hydro production - Kilowatt-hours, million",2023,242.5
Belize,"Total hydro production - Kilowatt-hours, million",2022,238.9
Belize,"Total hydro production - Kilowatt-hours, million",2021,157.619
Belize,"Total hydro production - Kilowatt-hours, million",2020,242.133
Belize,"Total hydro production - Kilowatt-hours, million",2019,74.71
Benin,"Total hydro production - Kilowatt-hours, million",2020,0.072
Benin,"Total hydro production - Kilowatt-hours, million",2019,0.072
Bhutan,"Total hydro production - Kilowatt-hours, million",2023,10515.11
Bhutan,"Total hydro production - Kilowatt-hours, million",2022,10960
Bhutan,"Total hydro production - Kilowatt-hours, million",2021,11369.83
Bhutan,"Total hydro production - Kilowatt-hours, million",2020,11369.72
Bhutan,"Total hydro production - Kilowatt-hours, million",2019,8856.92
Bolivia (Plur. State of),"Total hydro production - Kilowatt-hours, million",2022,2851.75
Bolivia (Plur. State of),"Total hydro production - Kilowatt-hours, million",2021,3236.83
Bolivia (Plur. State of),"Total hydro production - Kilowatt-hours, million",2020,2942.18
Bolivia (Plur. State of),"Total hydro production - Kilowatt-hours, million",2019,3251.2
Bosnia and Herzegovina,"Total hydro production - Kilowatt-hours, million",2022,4739
Bosnia and Herzegovina,"Total hydro production - Kilowatt-hours, million",2021,6796
Bosnia and Herzegovina,"Total hydro production - Kilowatt-hours, million",2020,4663
Bosnia and Herzegovina,"Total hydro production - Kilowatt-hours, million",2019,6172
Brazil,"Total hydro production - Kilowatt-hours, million",2023,425996.087
Brazil,"Total hydro production - Kilowatt-hours, million",2022,427113.549
Brazil,"Total hydro production - Kilowatt-hours, million",2021,362818.451
Brazil,"Total hydro production - Kilowatt-hours, million",2020,396328
Brazil,"Total hydro production - Kilowatt-hours, million",2019,397877
Bulgaria,"Total hydro production - Kilowatt-hours, million",2022,3833.256
Bulgaria,"Total hydro production - Kilowatt-hours, million",2021,5067.133
Bulgaria,"Total hydro production - Kilowatt-hours, million",2020,3320.258
Bulgaria,"Total hydro production - Kilowatt-hours, million",2019,3382.745
Burkina Faso,"Total hydro production - Kilowatt-hours, million",2023,88
Burkina Faso,"Total hydro production - Kilowatt-hours, million",2022,82.4
Burkina Faso,"Total hydro production - Kilowatt-hours, million",2021,127.5
Burkina Faso,"Total hydro production - Kilowatt-hours, million",2020,112.4
Burkina Faso,"Total hydro production - Kilowatt-hours, million",2019,105.317
Burundi,"Total hydro production - Kilowatt-hours, million",2023,242.473
Burundi,"Total hydro production - Kilowatt-hours, million",2022,167.199
Burundi,"Total hydro production - Kilowatt-hours, million",2021,130.704
Burundi,"Total hydro production - Kilowatt-hours, million",2020,175.959
Burundi,"Total hydro production - Kilowatt-hours, million",2019,132.044
Cambodia,"Total hydro production - Kilowatt-hours, million",2022,6157.347
Cambodia,"Total hydro production - Kilowatt-hours, million",2021,5249.286
Cambodia,"Total hydro production - Kilowatt-hours, million",2020,4048.364
Cambodia,"Total hydro production - Kilowatt-hours, million",2019,4025
Cameroon,"Total hydro production - Kilowatt-hours, million",2022,7032.749
Cameroon,"Total hydro production - Kilowatt-hours, million",2021,6308.682
Cameroon,"Total hydro production - Kilowatt-hours, million",2020,4945.4
Cameroon,"Total hydro production - Kilowatt-hours, million",2019,5229.445
Canada,"Total hydro production - Kilowatt-hours, million",2022,397727
Canada,"Total hydro production - Kilowatt-hours, million",2021,383963
Canada,"Total hydro production - Kilowatt-hours, million",2020,386617
Canada,"Total hydro production - Kilowatt-hours, million",2019,381843
Central African Rep.,"Total hydro production - Kilowatt-hours, million",2023,142.69
Central African Rep.,"Total hydro production - Kilowatt-hours, million",2022,141.27
Central African Rep.,"Total hydro production - Kilowatt-hours, million",2021,140.081
Central African Rep.,"Total hydro production - Kilowatt-hours, million",2020,140.081
Central African Rep.,"Total hydro production - Kilowatt-hours, million",2019,140.325
Chile,"Total hydro production - Kilowatt-hours, million",2022,20684.438
Chile,"Total hydro production - Kilowatt-hours, million",2021,19347.883
Chile,"Total hydro production - Kilowatt-hours, million",2020,21873.09
Chile,"Total hydro production - Kilowatt-hours, million",2019,22477.013
China,"Total hydro production - Kilowatt-hours, million",2022,1352195
China,"Total hydro production - Kilowatt-hours, million",2021,1339000
China,"Total hydro production - Kilowatt-hours, million",2020,1355210
China,"Total hydro production - Kilowatt-hours, million",2019,1304440
Colombia,"Total hydro production - Kilowatt-hours, million",2022,62248.191
Colombia,"Total hydro production - Kilowatt-hours, million",2021,62318.28
Colombia,"Total hydro production - Kilowatt-hours, million",2020,49977.353
Colombia,"Total hydro production - Kilowatt-hours, million",2019,54593.646
Congo,"Total hydro production - Kilowatt-hours, million",2022,1119
Congo,"Total hydro production - Kilowatt-hours, million",2021,989
Congo,"Total hydro production - Kilowatt-hours, million",2020,900.45
Congo,"Total hydro production - Kilowatt-hours, million",2019,846.89
Costa Rica,"Total hydro production - Kilowatt-hours, million",2022,9448.709
Costa Rica,"Total hydro production - Kilowatt-hours, million",2021,9285.714
Costa Rica,"Total hydro production - Kilowatt-hours, million",2020,8294.32
Costa Rica,"Total hydro production - Kilowatt-hours, million",2019,7826.661
