"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Afghanistan","Electricity - total solar production","2023","Kilowatt-hours, million","65","1"
"Afghanistan","Electricity - total solar production","2022","Kilowatt-hours, million","64","1"
"Afghanistan","Electricity - total solar production","2021","Kilowatt-hours, million","64","1"
"Afghanistan","Electricity - total solar production","2020","Kilowatt-hours, million","65.93",""
"Afghanistan","Electricity - total solar production","2019","Kilowatt-hours, million","54.77",""
"Albania","Electricity - total solar production","2023","Kilowatt-hours, million","297.459",""
"Albania","Electricity - total solar production","2022","Kilowatt-hours, million","160.892",""
"Albania","Electricity - total solar production","2021","Kilowatt-hours, million","40.77",""
"Albania","Electricity - total solar production","2020","Kilowatt-hours, million","32.265",""
"Albania","Electricity - total solar production","2019","Kilowatt-hours, million","22.196",""
"Algeria","Electricity - total solar production","2022","Kilowatt-hours, million","648.807",""
"Algeria","Electricity - total solar production","2021","Kilowatt-hours, million","642",""
"Algeria","Electricity - total solar production","2020","Kilowatt-hours, million","665",""
"Algeria","Electricity - total solar production","2019","Kilowatt-hours, million","678.1",""
"American Samoa","Electricity - total solar production","2023","Kilowatt-hours, million","6.831","1"
"American Samoa","Electricity - total solar production","2022","Kilowatt-hours, million","6.831",""
"American Samoa","Electricity - total solar production","2021","Kilowatt-hours, million","6.831",""
"American Samoa","Electricity - total solar production","2020","Kilowatt-hours, million","6.831",""
"American Samoa","Electricity - total solar production","2019","Kilowatt-hours, million","7.435",""
"Andorra","Electricity - total solar production","2023","Kilowatt-hours, million","1.283",""
"Andorra","Electricity - total solar production","2022","Kilowatt-hours, million","1.595",""
"Andorra","Electricity - total solar production","2021","Kilowatt-hours, million","1.279",""
"Andorra","Electricity - total solar production","2020","Kilowatt-hours, million","0.938",""
"Andorra","Electricity - total solar production","2019","Kilowatt-hours, million","0.723",""
"Angola","Electricity - total solar production","2022","Kilowatt-hours, million","613.2","1"
"Angola","Electricity - total solar production","2021","Kilowatt-hours, million","39",""
"Angola","Electricity - total solar production","2020","Kilowatt-hours, million","42.5",""
"Angola","Electricity - total solar production","2019","Kilowatt-hours, million","37.7",""
"Anguilla","Electricity - total solar production","2023","Kilowatt-hours, million","2.683",""
"Anguilla","Electricity - total solar production","2022","Kilowatt-hours, million","2.7","1"
"Anguilla","Electricity - total solar production","2021","Kilowatt-hours, million","2.683",""
"Anguilla","Electricity - total solar production","2020","Kilowatt-hours, million","2.683",""
"Anguilla","Electricity - total solar production","2019","Kilowatt-hours, million","2.629",""
"Antigua and Barbuda","Electricity - total solar production","2023","Kilowatt-hours, million","18","1"
"Antigua and Barbuda","Electricity - total solar production","2022","Kilowatt-hours, million","17","1"
"Antigua and Barbuda","Electricity - total solar production","2021","Kilowatt-hours, million","17","1"
"Antigua and Barbuda","Electricity - total solar production","2020","Kilowatt-hours, million","16.34",""
"Antigua and Barbuda","Electricity - total solar production","2019","Kilowatt-hours, million","13.073",""
"Argentina","Electricity - total solar production","2023","Kilowatt-hours, million","3260",""
"Argentina","Electricity - total solar production","2022","Kilowatt-hours, million","2928",""
"Argentina","Electricity - total solar production","2021","Kilowatt-hours, million","2196",""
"Argentina","Electricity - total solar production","2020","Kilowatt-hours, million","1344.589",""
"Argentina","Electricity - total solar production","2019","Kilowatt-hours, million","800",""
"Armenia","Electricity - total solar production","2022","Kilowatt-hours, million","523.55",""
"Armenia","Electricity - total solar production","2021","Kilowatt-hours, million","293.719",""
"Armenia","Electricity - total solar production","2020","Kilowatt-hours, million","136.577",""
"Armenia","Electricity - total solar production","2019","Kilowatt-hours, million","60.745",""
"Aruba","Electricity - total solar production","2023","Kilowatt-hours, million","11","1"
"Aruba","Electricity - total solar production","2022","Kilowatt-hours, million","11","1"
