"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Algeria","Electricity - total wind production","2022","Kilowatt-hours, million","15.78",""
"Algeria","Electricity - total wind production","2021","Kilowatt-hours, million","11",""
"Algeria","Electricity - total wind production","2020","Kilowatt-hours, million","8",""
"Algeria","Electricity - total wind production","2019","Kilowatt-hours, million","10",""
"Argentina","Electricity - total wind production","2023","Kilowatt-hours, million","14475",""
"Argentina","Electricity - total wind production","2022","Kilowatt-hours, million","14164",""
"Argentina","Electricity - total wind production","2021","Kilowatt-hours, million","12938",""
"Argentina","Electricity - total wind production","2020","Kilowatt-hours, million","9412.333",""
"Argentina","Electricity - total wind production","2019","Kilowatt-hours, million","4996",""
"Armenia","Electricity - total wind production","2022","Kilowatt-hours, million","1.793",""
"Armenia","Electricity - total wind production","2021","Kilowatt-hours, million","1.45",""
"Armenia","Electricity - total wind production","2020","Kilowatt-hours, million","1.869",""
"Armenia","Electricity - total wind production","2019","Kilowatt-hours, million","3.23",""
"Aruba","Electricity - total wind production","2023","Kilowatt-hours, million","175","1"
"Aruba","Electricity - total wind production","2022","Kilowatt-hours, million","174","1"
"Aruba","Electricity - total wind production","2021","Kilowatt-hours, million","172","1"
"Aruba","Electricity - total wind production","2020","Kilowatt-hours, million","165","1"
"Aruba","Electricity - total wind production","2019","Kilowatt-hours, million","164.9","1"
"Australia","Electricity - total wind production","2022","Kilowatt-hours, million","29107.793",""
"Australia","Electricity - total wind production","2021","Kilowatt-hours, million","24535.369",""
"Australia","Electricity - total wind production","2020","Kilowatt-hours, million","20395.885",""
"Australia","Electricity - total wind production","2019","Kilowatt-hours, million","17712",""
"Austria","Electricity - total wind production","2022","Kilowatt-hours, million","7245.134",""
"Austria","Electricity - total wind production","2021","Kilowatt-hours, million","6740.042",""
"Austria","Electricity - total wind production","2020","Kilowatt-hours, million","6791.53",""
"Austria","Electricity - total wind production","2019","Kilowatt-hours, million","7450.076",""
"Azerbaijan","Electricity - total wind production","2022","Kilowatt-hours, million","83.301",""
"Azerbaijan","Electricity - total wind production","2021","Kilowatt-hours, million","91.401",""
"Azerbaijan","Electricity - total wind production","2020","Kilowatt-hours, million","96.101",""
"Azerbaijan","Electricity - total wind production","2019","Kilowatt-hours, million","105.401",""
"Bahamas","Electricity - total wind production","2023","Kilowatt-hours, million","0.788","1"
"Bahamas","Electricity - total wind production","2022","Kilowatt-hours, million","0.788","1"
"Bahamas","Electricity - total wind production","2021","Kilowatt-hours, million","0.788",""
"Bahamas","Electricity - total wind production","2020","Kilowatt-hours, million","0.788",""
"Bahamas","Electricity - total wind production","2019","Kilowatt-hours, million","0.788",""
"Bahrain","Electricity - total wind production","2023","Kilowatt-hours, million","1.76",""
"Bahrain","Electricity - total wind production","2022","Kilowatt-hours, million","1.64",""
"Bahrain","Electricity - total wind production","2021","Kilowatt-hours, million","0.37",""
"Bangladesh","Electricity - total wind production","2022","Kilowatt-hours, million","6",""
"Bangladesh","Electricity - total wind production","2021","Kilowatt-hours, million","6",""
"Bangladesh","Electricity - total wind production","2020","Kilowatt-hours, million","6",""
"Bangladesh","Electricity - total wind production","2019","Kilowatt-hours, million","6",""
"Belarus","Electricity - total wind production","2022","Kilowatt-hours, million","180.483",""
"Belarus","Electricity - total wind production","2021","Kilowatt-hours, million","168",""
"Belarus","Electricity - total wind production","2020","Kilowatt-hours, million","194",""
"Belarus","Electricity - total wind production","2019","Kilowatt-hours, million","178",""
"Belgium","Electricity - total wind production","2022","Kilowatt-hours, million","12352.6",""
"Belgium","Electricity - total wind production","2021","Kilowatt-hours, million","11997.6",""
"Belgium","Electricity - total wind production","2020","Kilowatt-hours, million","12818.6",""
"Belgium","Electricity - total wind production","2019","Kilowatt-hours, million","9755.4",""
"Bhutan","Electricity - total wind production","2023","Kilowatt-hours, million","0.23",""
"Bhutan","Electricity - total wind production","2022","Kilowatt-hours, million","0.39",""
"Bhutan","Electricity - total wind production","2021","Kilowatt-hours, million","0.39",""
