World,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
total_investment_usd_billion_2024_mer,2703.3,2489.4,2492.7,2493.1,2452.9,2239.5,2430.5,2744.5,3049.1,3232.2,3303.2
total_clean_energy_usd_billion_2024_mer,1209.9,1262.5,1285.1,1282.7,1287.8,1267.8,1392.6,1630.2,1870.2,2032.5,2154.5
fuels_total_usd_billion_2024_mer,1314.6,1056.8,1052.3,1074.0,1045.6,867.4,929.9,998.5,1046.4,1053.4,1037.0
fuels_fossil_usd_billion_2024_mer,1308.3,1050.2,1045.6,1067.8,1038.7,860.6,921.6,984.8,1030.4,1033.0,1008.3
fuels_oil_usd_billion_2024_mer,793.2,620.0,630.6,660.9,629.5,496.1,534.8,562.9,587.4,580.7,541.3
fuels_gas_usd_billion_2024_mer,384.0,320.9,296.6,287.7,270.9,237.7,254.0,274.1,286.5,288.8,298.3
fuels_coal_usd_billion_2024_mer,131.0,109.3,118.5,119.2,138.4,126.8,132.7,147.8,156.5,163.5,168.7
fuels_clean_usd_billion_2024_mer,6.3,6.6,6.6,6.2,6.9,6.8,8.3,13.6,15.8,20.2,28.1
fuels_dac_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.6
power_total_usd_billion_2024_mer,938.6,939.1,912.2,907.7,904.9,900.0,954.1,1124.8,1336.8,1449.6,1492.8
power_generation_total_usd_billion_2024_mer,606.7,595.8,578.1,581.8,599.9,596.2,634.6,779.9,941.3,1004.8,1013.9
power_generation_coal_unabated_usd_billion_2024_mer,90.5,80.4,73.6,70.1,66.2,61.1,63.2,66.1,67.7,74.5,79.2
power_generation_oil_gas_unabated_usd_billion_2024_mer,95.7,97.4,89.7,73.9,62.1,51.8,56.3,66.1,81.0,92.5,69.0
power_generation_waste_nonrenewable_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.3,3.3,3.3
power_generation_nuclear_usd_billion_2024_mer,45.5,42.7,37.3,37.4,41.6,47.4,59.5,66.6,67.8,72.1,73.8
power_generation_renewables_total_usd_billion_2024_mer,374.1,374.6,377.4,400.5,430.0,435.8,455.6,579.9,721.9,759.6,780.0
power_generation_renewables_solar_usd_billion_2024_mer,142.3,171.0,167.5,181.3,191.0,190.3,227.7,336.6,447.5,455.2,440.8
power_generation_renewables_wind_usd_billion_2024_mer,143.1,118.7,124.7,130.9,150.1,158.1,142.2,157.9,187.0,213.2,242.0
power_generation_renewables_other_usd_billion_2024_mer,88.8,85.0,85.1,88.3,88.9,87.4,85.7,85.4,87.3,91.2,97.1
power_generation_fossil_ccus_usd_billion_2024_mer,0.9,0.6,0.2,0.0,0.0,0.1,0.1,0.3,0.6,0.9,5.4
power_generation_clean_other_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,3.1
power_generation_clean_hydrogen_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_generation_clean_ammonia_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_generation_clean_large_scale_heat_pumps_usd_billion_2024_mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,3.1
power_battery_storage_usd_billion_2024_mer,0.5,1.0,1.7,3.2,3.1,5.2,9.4,22.5,39.3,57.2,65.5
power_electricity_networks_usd_billion_2024_mer,331.5,342.3,332.4,322.7,302.0,298.6,310.1,322.4,356.2,387.6,413.3
enduse_total_usd_billion_2024_mer,450.1,493.5,528.2,511.4,502.4,472.0,546.5,621.1,665.9,729.1,773.4
enduse_energy_efficiency_total_usd_billion_2024_mer,301.5,319.8,341.5,347.2,347.2,293.2,323.1,347.2,370.1,424.8,429.2
enduse_energy_efficiency_buildings_usd_billion_2024_mer,199.4,207.0,218.8,220.8,228.2,228.3,242.0,252.2,267.5,275.5,273.6
enduse_energy_efficiency_transport_usd_billion_2024_mer,72.2,84.7,95.2,102.5,97.0,44.0,59.7,73.4,79.6,123.1,124.9
enduse_energy_efficiency_industry_usd_billion_2024_mer,29.9,28.1,27.5,23.9,22.0,20.8,21.4,21.5,23.0,26.2,30.7
enduse_other_total_usd_billion_2024_mer,148.6,173.7,186.7,164.2,155.2,178.8,223.4,273.9,295.8,304.4,344.3
enduse_other_buildings_usd_billion_2024_mer,63.7,69.8,79.8,80.9,89.5,90.9,87.6,82.5,94.0,105.6,120.6
enduse_other_transport_usd_billion_2024_mer,81.4,97.1,98.2,76.6,62.1,80.7,128.0,185.0,196.7,188.5,208.8
enduse_other_industry_usd_billion_2024_mer,3.5,6.8,8.7,6.7,3.6,7.2,7.8,6.4,5.1,10.3,14.9
memo_oil_gas_upstream_usd_billion_2024_mer,868.5,619.5,600.4,646.4,636.0,468.3,487.4,537.9,593.5,593.2,567.1
memo_transitional_fossil_usd_billion_2024_mer,1.1,1.2,1.3,1.4,1.7,1.8,3.1,3.6,2.5,3.4,9.4
