country_code,country,continent,year,renewable_elec_pct,renewable_prod_kwh,renewable_prod_pct,renewable_consump_pct,hydro_elec_pct,total_renewable_cap_mw,total_renewable_gen_gwh,GHG_emissions_total,energy_invest_private_ppp_USD,total_solar_cap_mw,total_solar_gen_gwh,total_wind_cap_mw,total_wind_gen_gwh,total_hydro_cap_mw,total_hydro_gen_gwh,total_financing_solar_USD,total_financing_wind_USD,total_financing_hydro_USD,total_financing_other_USD,total_financing_renewables_USD
ABW,Aruba,North America,2019,15.0205308345377,156930000,15.0205308345377,8.3,0,44.809999999999995,156.98,NA,NA,14.81,26,30,130.99,0,0,0,0,0,0,0
ABW,Aruba,North America,2020,14.7971787957078,156930000,14.7971787957078,9.1,0,44.809999999999995,156.98,NA,NA,14.81,26,30,130.99,0,0,0,0,0,0,0
ABW,Aruba,North America,2021,14.7971787957078,156930000,14.7971787957078,8.8,0,44.809999999999995,156.98,NA,NA,14.81,26,30,130.99,0,0,0,0,0,0,0
ABW,Aruba,North America,2022,NA,NA,NA,8.8,NA,44.8,156.98,NA,NA,14.8,26,30,130.99,0,0,0,0,0,0,0
ABW,Aruba,North America,2023,NA,NA,NA,NA,NA,44.8,156.98,NA,NA,14.8,26,30,130.99,0,0,0,0,0,0,0
ABW,Aruba,North America,2024,NA,NA,NA,NA,NA,45.8,NA,NA,NA,14.8,0,30,0,0,0,0,0,0,0,0
AFG,Afghanistan,Asia,2019,87.8403578186823,55580000,3.82453122312059,18.9,84.0158265955617,401.98,1194.26,37.5288,190490000,52.59,57.959999999999994,0.4,0.12,348.99,1136.17,4.24,0,0.02,0,4.26
AFG,Afghanistan,Asia,2020,87.123785906179,65720000,5.43252738169043,18.2,81.6912585244885,401.40999999999997,1111.95,37.1923,NA,52.01,65.4,0.4,0.12,348.99,1046.43,17.68,0,0,0,17.68
AFG,Afghanistan,Asia,2021,78.2344746063241,77910000,6.57829189006628,20,71.6561827162579,418.49,958.5,38.1891,NA,52.19,77.19999999999999,0.4,0.12,365.91,881.17,0,0,0,0,0
AFG,Afghanistan,Asia,2022,NA,NA,NA,20,NA,522.79,849.79,39.1601,NA,53.96,90.69,0.4,0.12,468.44,758.98,0,0,0,0,0
AFG,Afghanistan,Asia,2023,NA,NA,NA,NA,NA,522.79,890.26,NA,NA,53.96,117.15,0.4,0.12,468.44,772.9799999999999,21.57,0,0,0,21.57
AFG,Afghanistan,Asia,2024,NA,NA,NA,NA,NA,522.79,NA,NA,NA,53.96,0,0.4,0,468.44,0,0,0,0,0,0
AGO,Angola,Africa,2019,85.1461543592822,2014260000,13.4364618771263,51,71.709692482156,3447.65,12764.24,140.32039,NA,1.37,1.94,0,0,3395.28,12562.3,0.06,0,0,0,0.06
AGO,Angola,Africa,2020,84.8757500454573,1603650000,9.71967998060489,60.1,75.1560700648524,3781.65,14003.630000000001,132.08969,NA,1.37,1.95,0,0,3729.28,13801.68,0.03,0,0,0,0.03
AGO,Angola,Africa,2021,91.7136027244744,2902750000,19.0107407164844,52.9,72.70286200799,3781.72,14003.72,134.81859,NA,1.44,2.05,0,0,3729.28,13801.68,0,0,0,0,0
AGO,Angola,Africa,2022,NA,NA,NA,NA,70.4244115967773,4065.74,14407.03,137.62039,NA,285.46,405.34999999999997,0,0,3729.28,13801.68,40,0,40,0,80
AGO,Angola,Africa,2023,NA,NA,NA,NA,NA,4090.74,14442.53,NA,NA,310.46,440.84999999999997,0,0,3729.28,13801.68,59.89,0,0,0,59.89
AGO,Angola,Africa,2024,NA,NA,NA,NA,NA,4142.17,NA,NA,NA,361.89,0,0,0,3729.28,0,0,0,0,0,0
AIA,Anguilla,North America,2019,NA,NA,NA,NA,NA,1.54,2.68,NA,NA,1.54,2.68,0,0,0,0,0,0,0,0,0
AIA,Anguilla,North America,2020,NA,NA,NA,NA,NA,1.54,3.82,NA,NA,1.54,3.82,0,0,0,0,0,0,0,0,0
AIA,Anguilla,North America,2021,NA,NA,NA,NA,NA,1.54,3.82,NA,NA,1.54,3.82,0,0,0,0,0,0,0,0,0
