location,year,total_investment_usd_billion_2024_mer,total_clean_energy_usd_billion_2024_mer,fuels_total_usd_billion_2024_mer,fuels_fossil_usd_billion_2024_mer,fuels_oil_usd_billion_2024_mer,fuels_gas_usd_billion_2024_mer,fuels_coal_usd_billion_2024_mer,fuels_clean_usd_billion_2024_mer,fuels_dac_usd_billion_2024_mer,power_total_usd_billion_2024_mer,power_generation_total_usd_billion_2024_mer,power_generation_coal_unabated_usd_billion_2024_mer,power_generation_oil_gas_unabated_usd_billion_2024_mer,power_generation_waste_nonrenewable_usd_billion_2024_mer,power_generation_nuclear_usd_billion_2024_mer,power_generation_renewables_total_usd_billion_2024_mer,power_generation_renewables_solar_usd_billion_2024_mer,power_generation_renewables_wind_usd_billion_2024_mer,power_generation_renewables_other_usd_billion_2024_mer,power_generation_fossil_ccus_usd_billion_2024_mer,power_generation_clean_other_usd_billion_2024_mer,power_generation_clean_hydrogen_usd_billion_2024_mer,power_generation_clean_ammonia_usd_billion_2024_mer,power_generation_clean_large_scale_heat_pumps_usd_billion_2024_mer,power_battery_storage_usd_billion_2024_mer,power_electricity_networks_usd_billion_2024_mer,enduse_total_usd_billion_2024_mer,enduse_energy_efficiency_total_usd_billion_2024_mer,enduse_energy_efficiency_buildings_usd_billion_2024_mer,enduse_energy_efficiency_transport_usd_billion_2024_mer,enduse_energy_efficiency_industry_usd_billion_2024_mer,enduse_other_total_usd_billion_2024_mer,enduse_other_buildings_usd_billion_2024_mer,enduse_other_transport_usd_billion_2024_mer,enduse_other_industry_usd_billion_2024_mer,memo_oil_gas_upstream_usd_billion_2024_mer,memo_transitional_fossil_usd_billion_2024_mer
africa,2015,153.4,28.7,112.1,111.9,81,28.9,1.9,0.3,0,36.4,24.3,2,10.9,0,0,11.4,2.8,2.2,6.4,0,0,0,0,0,0,12.2,4.9,4.4,3.5,0.2,0.7,0.5,0.2,0.1,0.1,96.9,0
africa,2016,128.8,29.2,86.6,86.2,57.7,26.1,2.4,0.4,0,36,24,2.1,11.4,0,0,10.5,3.1,1.6,5.8,0,0,0,0,0,0,12,6.3,5.7,3.8,1.1,0.8,0.5,0.2,0.1,0.2,71.4,0
africa,2017,111.4,27.2,72.7,72.3,45.3,24.6,2.5,0.4,0,32.1,21,2.1,9.9,0,0,9,3.3,1,4.7,0,0,0,0,0,0,11.1,6.6,6,4.1,1.1,0.9,0.6,0.2,0.1,0.2,58.5,0.1
africa,2018,101.2,26.1,67,66.8,44.4,20.3,2.1,0.2,0,27.3,17.2,1.7,6.6,0,0,8.9,3.9,0.8,4.3,0,0,0,0,0,0,10,6.9,6.4,4.3,1.1,0.9,0.5,0.2,0,0.3,53.4,0.1
africa,2019,95.6,24.7,64.7,64.6,40.3,22.2,2.1,0.1,0,23.5,15.5,1.5,4.8,0,0,9.2,3.5,1.3,4.3,0,0,0,0,0,0,8,7.5,6.9,4.6,1.6,0.8,0.5,0.2,0,0.3,50,0.1
africa,2020,76.3,25.2,46.6,46.5,28.7,16.2,1.5,0.1,0,21.8,15.2,1.6,3.1,0,0,10.5,3.9,1.6,5,0,0,0,0,0,0,6.6,8,7.4,4.8,1.6,0.9,0.6,0.2,0,0.4,30.9,0
africa,2021,82.8,29.9,47.9,47.9,29.9,16.3,1.7,0,0,25.5,17.7,1.3,3.7,0,0,12.7,5.4,1.4,5.9,0,0,0,0,0,0,7.8,9.4,9,5.2,2.7,1,0.4,0.2,0.1,0.2,31.8,0
africa,2022,92.3,35.9,52.1,52,34.8,15.6,1.7,0.1,0,30.1,20.9,0.9,3.6,0,0.4,16.1,7.9,1.9,6.3,0,0,0,0,0,0,9.2,10.1,9.6,5.6,3,1,0.6,0.2,0.1,0.2,34.5,0
africa,2023,107.5,40.4,62.8,62.7,43.6,17.4,1.7,0.1,0,32.7,23.6,0.7,3.8,0,0.7,18.4,9.1,3.1,6.2,0,0,0,0,0,0,9.1,12,11.3,6.7,3.5,1.1,0.6,0.3,0.2,0.1,42.2,0
africa,2024,116.7,47.4,64.9,64.8,44.6,18.4,1.8,0.1,0,37.6,24.8,0.3,4.3,0,0.7,19.5,9.3,4.3,5.9,0,0,0,0,0,0,12.8,14.2,13,7.7,4.1,1.3,1.1,0.5,0.2,0.3,47.7,0.1
africa,2025,104.4,50.2,53.3,53.2,36.3,15.1,1.8,0.1,0,37.5,23.9,0,1.7,0,1.1,21,10.3,5.1,5.6,0,0,0,0,0,0,13.7,13.6,11.9,7.9,2.7,1.3,1.7,0.7,0.8,0.2,42.2,0.7
